SL_NO,Brand,Model,Announced,Audio_jack,Battery,Bluetooth,CPU,Chipset,Colors,Dimensions,Display_type,GPU,Internal_memory,Loud_speaker,Memory_card,Network,Operating_System,Primary_camera,RAM,Radio,SIM,Secondary_camera,Sensors,Status,USB
164,Asus,P735,2007 January,No,Removable Li-Ion 1300 mAh battery,2,Intel XScale 520 MHz,(undefined),Silver,109 x 59 x 19 mm (4.29 x 2.32 x 0.75 in),TFT resistive touchscreen 65K colors,(undefined),256 MB,No,miniSD,GSM / UMTS,Microsoft Windows Mobile 5.0 PocketPC,2 MP| autofocus| LED flash,64 MB RAM,No,Mini-SIM,VGA videocall camera,(undefined),Discontinued,1.1
165,Asus,E600,Exp. announcement 2011,Yes,Removable Li-Ion 1300 mAh battery,2.1| A2DP,(undefined),(undefined),Black,122 x 60 x 13.5 mm (4.80 x 2.36 x 0.53 in),TFT touchscreen 256K colors,(undefined),(undefined),Yes,No,GSM / HSPA,Microsoft Windows Phone 7,5 MP| LED flash,(undefined),(undefined),Mini-SIM,No,Accelerometer,Cancelled,microUSB 2.0
166,Asus,Memo Pad HD7 16 GB,2013 June,Yes,Non-removable Li-Po battery (15 Wh),4.0| A2DP,Quad-core 1.2 GHz Cortex-A7,Mediatek MT8125,Black| Gray| White| Pink| Green,196.8 x 120.6 x 10.8 mm (7.75 x 4.75 x 0.43 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544,16 GB,Yes with stereo speakers,microSD up to 32 GB (dedicated slot),No cellular connectivity,Android 4.2 (Jelly Bean)| upgradable to 4.2.2 (Jelly Bean),5 MP| autofocus,1 GB RAM,No,No,1.2 MP| 720p,Accelerometer| compass,Available. Released 2013 July,microUSB 2.0
167,Asus,Transformer Pad Infinity 700 3G,2012 February,Yes,Non-removable Li-Po battery (25 Wh),3.0| A2DP,Dual-core 1.5 GHz Krait,Qualcomm MSM8260A Snapdragon S4 Plus,Amethyst Gray| Champagne Gold,263 x 180.8 x 8.5 mm (10.35 x 7.12 x 0.33 in),Super IPS+ LCD capacitive touchscreen 16M colors,Adreno 225,32/64 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.0 (Ice Cream Sandwich),8 MP| autofocus| LED flash,1 GB RAM,No,Mini-SIM,2 MP,Accelerometer| gyro| compass,Available. Released 2012 Q3,2
168,Asus,PadFone mini 4G (Intel),2014 September,Yes,Removable Li-Ion 2060 mAh battery,4.0| A2DP| EDR,Dual-core 1.6 GHz,Intel Atom Z2560,Charcoal Black| Pearl White| Cherry Red,132 x 66.7 x 6.3 - 12.5 mm,IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,8 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 4.4.2 (KitKat),5 MP| autofocus| LED flash,1 GB RAM,To be confirmed,Yes,2 MP,Accelerometer| proximity| compass,Available. Released 2014 September,microUSB 2.0
169,Asus,Zenfone AR ZS571KL,2017 January,Yes,Non-removable Li-Ion 3300 mAh battery,4.2| A2DP| LE,Quad-core (2x2.35 GHz Kryo & 2x1.6 GHz Kryo),Qualcomm MSM8996 Snapdragon 821,Black,158.7 x 77.7 x 9 mm (6.25 x 3.06 x 0.35 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 530,64/128/256 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 7.0 (Nougat),23 MP| f/2.0| OIS (4-axis)| 3x zoom| phase detection autofocus| depth & motion tracking sensors,GB| 6/8 GB RAM,FM radio,Dual SIM (Nano-SIM| dual stand-by),8 MP| f/2.0| 1080p,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Available. Released 2017 June,2.0| Type-C 1.0 reversible connector| USB On-The-Go
170,Asus,Pegasus 2 Plus,2015 July,Yes,Non-removable Li-Po 3030 mAh battery,4.1| A2DP,Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Rose Gold| White,151.8 x 75.5 x 8.1 mm (5.98 x 2.97 x 0.32 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,32 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA / LTE,Android 5.1.1 (Lollipop),13 MP| f/2.0| autofocus| dual-LED (dual tone) flash,3 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),8 MP| f/2.0,Accelerometer| gyro| proximity| compass,Available. Released 2015 December,microUSB 2.0
171,Asus,P565,2008 November. Released 2009 May,No,Removable Li-Ion 1300 mAh battery,2.0| A2DP,800 MHz Marvell TavorP,(undefined),Black,102 x 60.5 x 16 mm (4.02 x 2.38 x 0.63 in),TFT resistive touchscreen 65K colors,(undefined),256 MB ROM,Yes,microSD (dedicated slot),GSM / HSPA,Microsoft Windows Mobile 6.1 Professional,3.15 MP| autofocus,128 MB RAM,No,Mini-SIM,VGA videocall camera,(undefined),Discontinued,1.1
172,Asus,Zenfone 2 Deluxe ZE551ML,2015 August,Yes,Non-removable Li-Po 3000 mAh battery,4.0| A2DP| EDR,Quad-core 2.3 GHz,Intel Atom Z3580,White| Pink| Purple,152.5 x 77.2 x 10.9 mm (6.00 x 3.04 x 0.43 in),IPS LCD capacitive touchscreen 16M colors,PowerVR G6430,64/128 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop)| planned upgrade to 6.0 (Marshmallow),13 MP| f/2.0| autofocus| dual-LED (dual tone) flash,4 GB RAM,FM radio| RDS,Dual SIM (Micro-SIM| dual stand-by| dual active),5 MP| f/2.0,Accelerometer| gyro| proximity| compass,Available. Released 2015 September,microUSB 2.0| USB On-The-Go
173,Asus,Zenfone Go T500,2016 April,Yes,Removable Li-Po 2500 mAh battery,4.0| A2DP| EDR,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Black| White,146 x 73 x 9.9 mm (5.75 x 2.87 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,16 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA / LTE,Android 4.4 (KitKat),8 MP| autofocus| LED flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP| f/2.2,Accelerometer| proximity,Available. Released 2016 April,microUSB 2.0
174,Asus,Memo Pad 10,2013 September,Yes,Non-removable Li-Po 5070 mAh battery,3,Quad-core 1.6 GHz,Rockchip RK101,Gray| White| Pink,256 x 174.6 x 10.5 mm (10.08 x 6.87 x 0.41 in),IPS LCD capacitive touchscreen 16M colors,(undefined),8/16 GB,Yes with stereo speakers,microSD up to 64 GB (dedicated slot),No cellular connectivity,Android 4.2 (Jelly Bean),2 MP,1 GB RAM,No,No,1.2 MP,Accelerometer| compass,Available. Released 2013 November,microUSB 2.0
175,Asus,PadFone mini (Intel),2014 January,Yes,Non-removable Li-Po 1170 mAh battery,4.0| A2DP| EDR,Dual-core 1.6 GHz,Intel Atom Z2560,Black| White| Red| Blue| Yellow,124.4 x 61.4 x 6.3-11.2 mm,IPS+ LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,8 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.3 (Jelly Bean)| planned upgrade to 4.4.2 (KitKat),8 MP| autofocus| LED flash,1 GB RAM,To be confirmed,Dual SIM (Micro-SIM| dual stand-by),2 MP,Accelerometer| proximity,Available. Released 2014 June,microUSB 2.0
176,Asus,Transformer TF101,2011 January. Released 2011 April,Yes,Non-removable Li-Po battery (24.4 Wh),2.1| A2DP| EDR,Dual-core 1.0 GHz Cortex-A9,Nvidia Tegra 2 T20,Black,271 x 171 x 13 mm (10.67 x 6.73 x 0.51 in),LED-backlit IPS LCD capacitive touchscreen,ULP GeForce,16/32 GB,Yes with stereo speakers,microSD up to 32 GB (dedicated slot),No cellular connectivity,Android 3.0 (Honeycomb)| 3.2 (Honeycomb)| upgradable to 4.0 (Ice Cream Sandwich),5 MP| autofocus,1 GB RAM,No,No,1.2 MP,Accelerometer| gyro| compass,Discontinued,2
177,Asus,Memo,2012 January,Yes,Removable Li-Po 4400 mAh battery,2.1| A2DP| EDR,Dual-core 1.2 GHz Scorpion,Qualcomm MSM8260 Snapdragon S3,Black,199 x 117 x 12 mm (7.83 x 4.61 x 0.47 in),IPS LCD capacitive touchscreen 16M colors,Adreno 220,16/32 GB,Yes,No,No cellular connectivity,Android 4.0.1 (Ice Cream Sandwich),5 MP| autofocus,1 GB RAM,No,No,1.2 MP,Accelerometer| gyro| proximity| compass,Available. Released 2012 September,2
178,Asus,P552w,2008 September. Released 2008,No,Removable Li-Ion 1100 mAh battery,2.0| A2DP,Marvell Tavor 624 MHz,(undefined),Black| White,102 x 60.5 x 14.5 mm (4.02 x 2.38 x 0.57 in),TFT resistive touchscreen 65K colors,(undefined),256 MB ROM,Yes,microSD (dedicated slot),GSM / HSPA,Microsoft Windows Mobile 6.1 Professional,2 MP,128 MB RAM,No,Mini-SIM,No,(undefined),Discontinued,2
179,Asus,Memo Pad Smart 10,2013 February,Yes,Non-removable Li-Po battery (19 Wh),3.0| A2DP| EDR,Quad-core 1.2 GHz,Nvidia Tegra 3 T33,Crystal White| Midnight Blue| Fuchsia Pink,263 x 180.8 x 9.9 mm (10.35 x 7.12 x 0.39 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,ULP GeForce,16 GB,Yes with stereo speakers,microSD up to 32 GB (dedicated slot),No cellular connectivity,Android 4.1 (Jelly Bean),5 MP| autofocus,1 GB RAM,No,No,1.2 MP,Accelerometer| gyro| compass,Available. Released 2013 May,microUSB 2.0
180,Asus,Google Nexus 7,2012 June,Yes,Non-removable Li-Ion 4325 mAh battery (16 Wh),3,Quad-core 1.2 GHz Cortex-A9,Nvidia Tegra 3,Black,198.5 x 120 x 10.5 mm (7.81 x 4.72 x 0.41 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,ULP GeForce,8/16/32 GB,Yes with stereo speakers,No,No cellular connectivity,Android 4.1.2 (Jelly Bean)| upgradable to 5.1.1 (Lollipop),1.2 MP,1 GB RAM,No,No,No,Accelerometer| gyro| proximity| compass,Available. Released 2012 July,microUSB 2.0
181,Asus,Zenpad 7.0 Z370CG,2015 August,Yes,Non-removable Li-Po battery (13 Wh),4.0| A2DP,Quad-core,Intel Atom x3-C3230,Black| White| Aurora Metallic,189 x 110.9 x 8.7 mm (7.44 x 4.37 x 0.34 in),IPS LCD capacitive touchscreen 16M colors,Mali-450MP4,16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA,Android 5.0 (Lollipop),8 MP| f/2.0| autofocus| LED flash,2 GB RAM,FM radio,Micro-SIM,2 MP,Accelerometer| proximity| compass,Available. Released 2015 August,microUSB 2.0
182,Asus,Zenfone Zoom S,(undefined),Yes,Non-removable Li-Ion 5000 mAh battery,4.2| A2DP| EDR| LE,Octa-core 2.0 GHz Cortex-A53,Qualcomm MSM8953 Snapdragon 625,Navy Black| Glacier Silver| Rose Gold,-,Capacitive touchscreen 16M colors,Adreno 506,32/64/128 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0.1 (Marshmallow),Dual 12 MP| (25mm| f/1.7| OIS (4-axis)& 59mm| f/2.8)| laser/phase detection autofocus| 2.3x optical zoom factor| dual-LED (dual tone) flash,4 GB RAM,FM radio,Dual SIM (Nano-SIM| dual stand-by),"13 MP| f/2.0| 1/3"" sensor size| 1.12 �m pixel size| 1080p",Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Cancelled,2.0| Type-C 1.0 reversible connector| USB On-The-Go
183,Asus,J501,2007 February,No,Removable Li-Ion 750 mAh battery,1.2| A2DP,(undefined),(undefined),Black| White,103 x 48 x 16.6 mm (4.06 x 1.89 x 0.65 in),TFT 256K colors,(undefined),5 MB,No,microSD (dedicated slot),GSM,(undefined),2 MP| autofocus,(undefined),FM radio,Mini-SIM,No,(undefined),Discontinued,1.1
184,Asus,V88i,2007,No,Removable Li-Ion battery,2,(undefined),(undefined),Black,101 x 45 x 16 mm (3.98 x 1.77 x 0.63 in),TFT resistive touchscreen 256K colors,(undefined),35 MB,No,microSD (dedicated slot),GSM / UMTS,(undefined),2 MP| autofocus,(undefined),FM radio,Mini-SIM,Videocall camera,(undefined),Discontinued,Yes
185,Asus,PadFone E,2014 January,Yes,Non-removable Li-Ion 1820 mAh battery,4.0| A2DP,Quad-core 1.4 GHz Cortex-A7,Qualcomm Snapdragon 400,Black| White,139.6 x 69.7 x 9.1 mm (5.50 x 2.74 x 0.36 in),Super IPS LCD capacitive touchscreen 16M colors,Adreno 305,(undefined),Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.3 (Jelly Bean),13 MP| autofocus| LED flash,1 GB RAM,To be confirmed,Dual SIM (dual stand-by),1.2 MP| 720p,Accelerometer| proximity| compass,Available. Released 2014 March,microUSB 2.0
186,Asus,Zenfone Go ZB551KL,2016 April,Yes,Removable Li-Ion 3010 mAh battery,4.0| A2DP| EDR,Quad-core 1.6 GHz Cortex-A7,Qualcomm MSM8928 Snapdragon 400,Charcoal Black| Pearl White| Lake Blue| Glacier Gray| Sheer Gold| Glamour Red| Floral Pink| Silver Blue,151 x 76.9 x 10.7 mm (5.94 x 3.03 x 0.42 in),IPS LCD capacitive touchscreen 16M colors,Adreno 305,16/32 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),8 MP or 13 MP| f/2.0| autofocus| dual-LED (dual tone) flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP| f/2.0,Accelerometer| proximity,Available. Released 2016 May,microUSB 2.0
187,Asus,Memo Pad FHD10,2013 June,Yes,Non-removable Li-Ion 6760 mAh battery (25 Wh),3,Dual-core 1.6 GHz,Intel Atom Z2560,Royal Blue| Silk White| Vivid Pink,264.6 x 182.4 x 9.5 mm (10.42 x 7.18 x 0.37 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,16/32 GB,Yes with stereo speakers,microSD up to 64 GB (dedicated slot),No cellular connectivity,Android 4.2 (Jelly Bean)| upgradable to 4.3 (Jelly Bean),5 MP| autofocus,2 GB RAM,No,No,1.2 MP,Accelerometer| gyro| compass,Available. Released 2013 August,2
188,Asus,Transformer Pad TF300T,2012 February,Yes,Non-removable Li-Po battery (22 Wh),3.0| EDR,Quad-core 1.2 GHz Cortex-A9,Nvidia Tegra 3 T30L,Royal Blue| Iceberg White| Torch Red,263 x 180.8 x 9.9 mm (10.35 x 7.12 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,ULP GeForce,16/32 GB,Yes with stereo speakers,microSD up to 32 GB (dedicated slot),No cellular connectivity,Android 4.0 (Ice Cream Sandwich)| upgradable to 4.2 (Jelly Bean),8 MP| autofocus,1 GB RAM,No,No,1.2 MP,Accelerometer| gyro| compass,Available. Released 2012 April,2
189,Asus,Zenfone Pegasus 3,2016 June,Yes,Non-removable Li-Ion 4100 mAh battery,Yes,Quad-core 1.3 GHz Cortex-A53,Mediatek MT6737,Gold| silver| gray| rose gold,149.5 x 73.7 x 8.6 mm (5.89 x 2.90 x 0.34 in),IPS LCD capacitive touchscreen 16M colors,Mali-T720MP2,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0.1 (Marshmallow),13 MP| f/2.2| autofocus| LED flash,2 GB RAM or 32 GB| 3 GB RAM,FM radio,Dual SIM,5 MP| f/2.0,Fingerprint (rear-mounted)| accelerometer| proximity| compass,Available. Released 2016 June,microUSB 2.0
190,Asus,P505,2006 March,No,Removable Li-Ion 1000 mAh battery,1.1,Intel PXA270 416 MHz,(undefined),Silver,108 x 60 x 22.5 mm (4.25 x 2.36 x 0.89 in),TFT resistive touchscreen 65K colors,(undefined),64 MB ROM,No,MMC/SD SDIO,GSM,Microsoft Windows Mobile OS for PocketPC,1.3 MP| LED flash,64 MB RAM,No,Mini-SIM,No,(undefined),Discontinued,1.1
191,Asus,Zenpad 8.0 Z380KL,2015 June,Yes,Non-removable Li-Po 4000 mAh battery (15.2 Wh),4.0| A2DP| LE| aptX,Octa-core (4x Cortex-A53 & 4x Cortex-A53),Qualcomm MSM8916 Snapdragon 410,Black| White| Aurora Metallic,209 x 123 x 8.5 mm (8.23 x 4.84 x 0.33 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,8 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop)| upgradable to 6.0.1 (Marshmallow),5 MP or 8 MP| f/2.0| autofocus,1 GB RAM,No,Micro-SIM,2 MP| f/2.2,Accelerometer| proximity| compass,Available. Released 2015 July,microUSB 2.0
192,Asus,Google Nexus 7 Cellular,2012 October,Yes,Non-removable Li-Ion 4325 mAh battery (16 Wh),3,Quad-core 1.2 GHz Cortex-A9,Nvidia Tegra 3,Black,198.5 x 120 x 10.5 mm (7.81 x 4.72 x 0.41 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,ULP GeForce,16/32 GB,Yes with stereo speakers,No,GSM / HSPA,Android 4.1 (Jelly Bean)| upgradable to 5.1.1 (Lollipop),1.2 MP,1 GB RAM,No,Micro-SIM,No,Accelerometer| gyro| proximity| compass,Available. Released 2012 November,microUSB 2.0
193,Asus,Fonepad,2013 February,Yes,Non-removable Li-Ion 4270 mAh battery (16 Wh),3.0| A2DP,1.2 GHz / 1.6 GHz,Intel Atom Z2420 / Intel Atom Z2460,Titanium Gray| Champagne Gold,196.4 x 120.1 x 10.4 mm (7.73 x 4.73 x 0.41 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX540,8/16 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.1 (Jelly Bean),3.15 MP| autofocus (selected markets only),1 GB RAM,No,Micro-SIM,1.2 MP,Accelerometer| proximity| compass,Available. Released 2013 April,microUSB 2.0
194,Asus,PadFone Infinity Lite,2014 February,Yes,Non-removable Li-Po 2400 mAh battery,4.0| A2DP,Quad-core 1.7 GHz Krait,Qualcomm Snapdragon 600,Titanium Black| Platinum White,143.5 x 72.8 x 8.9 mm (5.65 x 2.87 x 0.35 in),Super IPS+ LCD capacitive touchscreen 16M colors,Adreno 320,16/32 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 4.1 (Jelly Bean),13 MP| autofocus| LED flash,2 GB RAM,FM radio,Yes,2 MP| 1080p@30fps,Accelerometer| gyro| proximity| compass,Available. Released 2014 March,microUSB 2.0 (SlimPort TV-out)| USB Host
195,Asus,Fonepad 7,2013 September,Yes,Non-removable Li-Po 3950 mAh battery (15 Wh),3,Dual-core 1.6 GHz,Intel Atom Z2560,Sapphire black| Diamond white,196.8 x 120 x 10.5 mm (7.75 x 4.72 x 0.41 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,8/16/32 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA / LTE,Android 4.2 (Jelly Bean)| upgradable to 4.4.2 (KitKat),5 MP| autofocus,1 GB RAM,No,Micro-SIM,1.2 MP| 720p,Accelerometer| proximity| compass,Available. Released 2013 October,microUSB 2.0
196,Asus,PadFone X mini,2014 October,Yes,Removable Li-Ion 2060 mAh battery,4.0| A2DP,Dual-core 1.6 GHz,Intel Atom Z2560,Black,132.1 x 66.3 x 12.7 mm (5.20 x 2.61 x 0.5 in),IPS+ LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,8 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 4.4.2 (KitKat),5 MP| autofocus| LED flash,1 GB RAM,FM radio,Micro-SIM,2 MP,Accelerometer| proximity,Available. Released 2014 October,microUSB 2.0
197,Asus,Fonepad 7 FE375CG,2014 June,Yes,Non-removable Li-Po battery (15 Wh),4.0| A2DP,Quad-core 1.83 GHz,Intel Atom Z3560,Black| White| Red| Gold,194.3 x 108.9 x 9.8 mm (7.65 x 4.29 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,PowerVR G6430,8/16 GB,Yes with stereo speakers,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.4.2 (KitKat),5 MP,1 GB RAM,No,Dual SIM (Micro-SIM| dual stand-by),2 MP,Accelerometer| proximity| compass,Available. Released 2014 Q3,microUSB 2.0
198,Asus,J502,2007,No,Removable Li-Ion battery,2.0| A2DP,(undefined),(undefined),Black| Red,103.5 x 52.8 x 14.7 mm (4.07 x 2.08 x 0.58 in),TFT resistive touchscreen 256K colors,(undefined),24 MB,No,microSD (dedicated slot),GSM,(undefined),3 MP| autofocus| LED flash,(undefined),No,Mini-SIM,No,(undefined),Discontinued,1.1
199,Asus,Zenfone 2 ZE500CL,2015 March,Yes,Non-removable Li-Po 2500 mAh battery,4.0| A2DP| EDR,Dual-core 1.6 GHz,Intel Atom Z2560,Charcoal Black| Pearl White| Cherry Red,148.1 x 71.5 x 10.9 mm (5.83 x 2.81 x 0.43 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,16 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 5.0 (Lollipop),8 MP| f/2.0| autofocus| LED flash,2 GB RAM,FM radio,Micro-SIM,2 MP| f/2.0,Accelerometer| proximity| compass,Available. Released 2015 March,microUSB 2.0
200,Asus,Fonepad Note FHD6,2013 June,Yes,Non-removable Li-Po 3200 mAh battery (15 Wh),3.0| A2DP| EDR,Dual-core 2.0 GHz,Intel Atom Z2580,White| Black,164.8 x 88.8 x 10.3 mm (6.49 x 3.50 x 0.41 in),Super IPS+ LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,16/32 GB,Yes with stereo speakers,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.2 (Jelly Bean)| upgradable to 4.4.2 (KitKat),8 MP| autofocus,2 GB RAM,No,Micro-SIM,1.2 MP| 720p,Accelerometer| proximity| compass,Available. Released 2013 November,2
201,Asus,Zenfone 4 A450CG,2014 June,Yes,Removable Li-Po 1750 mAh battery,4.0| A2DP| EDR,Dual-core 1.2 GHz,Intel Atom Z2520,Charcoal Black| Pearl White| Cherry Red| Sky Blue| Solar Yellow,136.8 x 67.9 x 11.3 mm (5.39 x 2.67 x 0.44 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,8 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.4.2 (KitKat)| upgradable to 5.0.2 (Lollipop),8 MP| f/2.0| autofocus| LED flash,1 GB RAM,FM radio,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),VGA,Accelerometer| proximity| compass,Available. Released 2014 July,microUSB 2.0
202,Coolpad,Modena 2,2016 September,Yes,Non-removable Li-Ion 2500 mAh battery,4.1| A2DP| LE,Quad-core 1.0 GHz Cortex-A53,Mediatek MT6735P,Gold| Black,154.5 x 76.5 x 7.9 mm (6.08 x 3.01 x 0.31 in),IPS LCD capacitive touchscreen 16M colors,Mali-T720MP2,16 GB,Yes,microSD up to 32 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0 (Marshmallow),8 MP| f/2.2| autofocus| LED flash,2 GB RAM,FM radio,Dual SIM (Nano-SIM| dual stand-by),8 MP| f/2.2,Accelerometer| proximity| compass,Available. Released 2016 September,microUSB 2.0
203,Coolpad,Mega 3,2016 December,Yes,Non-removable Li-Po 3050 mAh battery,4.0| A2DP,Quad-core 1.2 GHz,Mediatek MT6737,Champagne White| Moondust Grey| Gold White,152 x 77 x 8.2 mm (5.98 x 3.03 x 0.32 in),IPS LCD capacitive touchscreen 16M colors,Mali-T860,16 GB,Yes with stereo speakers,microSD up to 32 GB (dedicated slot),GSM / HSPA / LTE,Android 6.0 (Marshmallow),8 MP| f/2.2| autofocus| LED flash,2 GB RAM,Stereo FM radio, recording,Triple SIM (Nano-SIM| triple stand-by),8 MP| f/2.2| LED flash| 720p,Accelerometer| proximity,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2
204,Coolpad,Roar,2015 November,Yes,Removable Li-Ion 1800 mAh battery,Yes,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580,Black,133 x 65.4 x 9 mm (5.24 x 2.57 x 0.35 in),IPS LCD capacitive touchscreen,Mali-400MP2,8 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 5.1 (Lollipop),5 MP| autofocus| LED flash,1 GB RAM,FM radio,Yes,2 MP,Yes,Available. Released 2015 November,microUSB 2.0
205,Coolpad,Max,2016 June,Yes,Non-removable Li-Ion 2800 mAh battery,4.0| A2DP,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8952 Snapdragon 617,Royal Gold| Rose Gold,152 x 75.7 x 7.6 mm (5.98 x 2.98 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,64 GB,Yes,microSD up to 64 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),13 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash,4 GB RAM,FM radio,Dual SIM,5 MP| f/2.2| 1.4 �m pixel size| 1080p,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 June,microUSB 2.0
206,Coolpad,Modena,2015 August,Yes,Non-removable Li-Ion 2500 mAh battery,4.0| A2DP| LE,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,White,153 x 77.5 x 8.6 mm (6.02 x 3.05 x 0.34 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,8 GB,Yes,microSD up to 32 GB,GSM / HSPA / LTE,Android 5.1 (Lollipop),8 MP| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),2 MP| 720p,Accelerometer| proximity,Available. Released 2015 August,microUSB 2.0
207,Coolpad,Note 3,2015 October,Yes,Non-removable Li-Ion 3000 mAh battery,4.0| A2DP,Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,White,151 x 77 x 9.3 mm (5.94 x 3.03 x 0.37 in),IPS LCD capacitive touchscreen 16M colors,Mali-T720MP3,16 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),13 MP| f/2.0| autofocus| LED flash,3 GB RAM,FM radio,Dual SIM,5 MP,Fingerprint (rear-mounted)| accelerometer| proximity,Available. Released 2015 October,microUSB 2.0
208,Coolpad,Torino S,2016 January,Yes,Non-removable Li-Ion 1800 mAh battery,4.1| A2DP| LE,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Various,139 x 67.8 x 7.9 mm (5.47 x 2.67 x 0.31 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,16 GB,Yes,microSD up to 32 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),8 MP| f/2.2| autofocus| dual-LED flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),5 MP| f/2.2| 1080p,Fingerprint (rear-mounted)| accelerometer| proximity,Available. Released 2016 March,microUSB 2.0
